Disease,Treatment,Diagnosis,Symptoms,Laymen Terms
Vulvodynia,"Topical lidocaine, amitriptyline (1050 mg daily), gabapentin (3001200 mg daily), pelvic floor therapy.","Clinical history, cotton swab test, rule out infections or dermatoses.","Chronic vulvar burning, stinging, rawness; pain during intercourse; sensitivity to touch.","Topical lidocaine, amitriptyline (1050 milligrams daily), gabapentin (3001200 milligrams daily), pelvic floor therapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cold Sores,"Acyclovir cream (5%, 5x daily), valacyclovir (2 g twice daily for 1 day), ibuprofen (200400 mg).","Visual exam, PCR for HSV1 if needed.","Lip tingling, painful blisters, crusting; mild fever possible.","Acyclovir cream (5%, 5 times a day), valacyclovir (2 g twice daily for 1 day), ibuprofen (200400 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Renal Cell Carcinoma,"Nephrectomy, sunitinib (50 mg daily), nivolumab (240 mg every 2 weeks).","CT scan, MRI, biopsy if unclear, kidney function tests.","Hematuria, flank pain, weight loss, fatigue, abdominal mass.","Nephrectomy, sunitinib (50 milligrams daily), nivolumab (240 milligrams every 2 weeks). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Scabies,"Permethrin 5% cream, ivermectin (200 mcg/kg), cetirizine (10 mg daily).","Skin scraping for mites, clinical history.","Nighttime itching, red rash, skin burrows.","Permethrin 5% cream, ivermectin (200 micrograms/kg), cetirizine (10 milligrams daily). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Parkinson’s Disease,"Levodopacarbidopa (25/100 mg 3x daily), pramipexole (0.51 mg 3x daily), physical therapy.","Neurological exam, DaTscan, levodopa trial.","Resting tremors, bradykinesia, rigidity, postural instability.","Levodopacarbidopa (25/100 milligrams 3 times a day), pramipexole (0.51 milligrams 3 times a day), physical therapy. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cleft Lip and Cleft Palate,"Surgical repair (312 months), speech therapy, amoxicillin (2040 mg/kg/day) for infections.","Prenatal ultrasound, physical exam at birth.","Visible facial defect, feeding difficulties, speech issues, ear infections.","Surgical repair (312 months), speech therapy, amoxicillin (2040 milligrams/kg/day) for infections. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Peritoneal Cancer,"Cytoreductive surgery, cisplatin (75 mg/m² IV), paclitaxel (175 mg/m² IV).","CT scan, peritoneal biopsy, CA125 blood test.","Abdominal swelling, pain, bloating, weight loss, nausea.","Cytoreductive surgery, cisplatin (75 milligrams/m² intravenous), paclitaxel (175 milligrams/m² intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Sciatica,"Ibuprofen (400800 mg), physical therapy, gabapentin (300600 mg).","Physical exam, MRI or CT for disc herniation.","Lower back pain radiating to leg, numbness, tingling, weakness.","Ibuprofen (400800 milligrams), physical therapy, gabapentin (300600 milligrams). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Congenital Syphilis,"Penicillin G (50,000 units/kg IV every 12 hours), supportive care.","Maternal serology, infant RPR test, bone Xrays.","Rash, bone deformities, jaundice, anemia, snuffles in newborns.","Penicillin G (50,000 units/kg intravenous every 12 hours), supportive care. This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Colorectal Cancer,"Surgery, 5fluorouracil (400 mg/m² IV), oxaliplatin (85 mg/m² IV).","Colonoscopy, biopsy, CEA levels, CT staging.","Blood in stool, abdominal pain, weight loss, bowel habit changes.","Surgery, 5fluorouracil (400 milligrams/m² intravenous), oxaliplatin (85 milligrams/m² intravenous). This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
